#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"94.0001","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QCOM-FY2013.CSV","Start Processing"
"14547.8227","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QCOM-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QRVO-FY2013.CSV","Start Processing"
"6.0003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\QRVO-FY2013.CSV","End Processing"
"0.9897","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QCOM-FY2014.CSV","Start Processing"
"9766.7692","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QCOM-FY2014.CSV","End Processing"
"0.457","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QRVO-FY2014.CSV","Start Processing"
"48.5319","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2014\QRVO-FY2014.CSV","End Processing"
"0.4515","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QCOM-FY2015.CSV","Start Processing"
"11048.2318","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QCOM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QRVO-FY2015.CSV","Start Processing"
"11291.2823","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\QRVO-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QCOM-FY2016.CSV","Start Processing"
"11402.4103","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QCOM-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QRVO-FY2016.CSV","Start Processing"
"10463.5222","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\QRVO-FY2016.CSV","End Processing"
"6","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QCOM-FY2017.CSV","Start Processing"
"10428.7796","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QCOM-FY2017.CSV","End Processing"
"0.9915","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QRVO-FY2017.CSV","Start Processing"
"11257.0495","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\QRVO-FY2017.CSV","End Processing"
