1|20120309|11001|3|Clothing|24|Tights|2012-03-09 00:00:00
2|20120309|11001|4|Accessories|30|Fenders|2012-03-09 00:00:00
3|20120309|11001|4|Accessories|32|Hydration Packs|2012-03-09 00:00:00
4|20120424|11017|3|Clothing|22|Shorts|2012-04-24 00:00:00
5|20120424|11017|4|Accessories|28|Bottles and Cages|2012-04-24 00:00:00
6|20120406|11019|4|Accessories|34|Locks|2012-04-06 00:00:00
7|20120414|11026|4|Accessories|28|Bottles and Cages|2012-04-14 00:00:00
8|20120310|11033|3|Clothing|21|Jerseys|2012-03-10 00:00:00
9|20120310|11033|3|Clothing|23|Socks|2012-03-10 00:00:00
10|20120310|11033|3|Clothing|24|Tights|2012-03-10 00:00:00
11|20120303|11037|4|Accessories|31|Helmets|2012-03-03 00:00:00
12|20120303|11037|4|Accessories|32|Hydration Packs|2012-03-03 00:00:00
13|20120311|11047|3|Clothing|22|Shorts|2012-03-11 00:00:00
14|20120311|11047|3|Clothing|23|Socks|2012-03-11 00:00:00
15|20120311|11047|4|Accessories|30|Fenders|2012-03-11 00:00:00
16|20120426|11048|4|Accessories|32|Hydration Packs|2012-04-26 00:00:00
17|20120426|11048|4|Accessories|36|Pumps|2012-04-26 00:00:00
18|20120312|11054|3|Clothing|18|Bib-Shorts|2012-03-12 00:00:00
19|20120408|11057|4|Accessories|36|Pumps|2012-04-08 00:00:00
20|20120417|11070|4|Accessories|29|Cleaners|2012-04-17 00:00:00
21|20120417|11070|4|Accessories|31|Helmets|2012-04-17 00:00:00
22|20120405|11078|4|Accessories|31|Helmets|2012-04-05 00:00:00
23|20120314|11079|3|Clothing|21|Jerseys|2012-03-14 00:00:00
24|20120314|11079|4|Accessories|27|Bike Stands|2012-03-14 00:00:00
25|20120314|11079|4|Accessories|37|Tires and Tubes|2012-03-14 00:00:00
26|20120326|11109|3|Clothing|25|Vests|2012-03-26 00:00:00
27|20120309|11110|3|Clothing|21|Jerseys|2012-03-09 00:00:00
28|20120324|11111|3|Clothing|20|Gloves|2012-03-24 00:00:00
29|20120324|11111|4|Accessories|30|Fenders|2012-03-24 00:00:00
30|20120324|11111|4|Accessories|32|Hydration Packs|2012-03-24 00:00:00
31|20120427|11123|4|Accessories|31|Helmets|2012-04-27 00:00:00
32|20120427|11123|4|Accessories|33|Lights|2012-04-27 00:00:00
33|20120427|11123|4|Accessories|37|Tires and Tubes|2012-04-27 00:00:00
34|20120325|11125|4|Accessories|36|Pumps|2012-03-25 00:00:00
35|20120427|11132|3|Clothing|23|Socks|2012-04-27 00:00:00
36|20120321|11142|3|Clothing|19|Caps|2012-03-21 00:00:00
37|20120410|11150|3|Clothing|21|Jerseys|2012-04-10 00:00:00
38|20120410|11150|4|Accessories|31|Helmets|2012-04-10 00:00:00
39|20120304|11223|4|Accessories|35|Panniers|2012-03-04 00:00:00
40|20120303|11276|3|Clothing|23|Socks|2012-03-03 00:00:00
41|20120303|11276|4|Accessories|34|Locks|2012-03-03 00:00:00
42|20120303|11287|3|Clothing|24|Tights|2012-03-03 00:00:00
43|20120303|11287|4|Accessories|33|Lights|2012-03-03 00:00:00
44|20120307|11300|4|Accessories|31|Helmets|2012-03-07 00:00:00
45|20120325|11316|3|Clothing|25|Vests|2012-03-25 00:00:00
46|20120325|11316|4|Accessories|28|Bottles and Cages|2012-03-25 00:00:00
47|20120325|11316|4|Accessories|34|Locks|2012-03-25 00:00:00
48|20120417|11331|3|Clothing|20|Gloves|2012-04-17 00:00:00
49|20120417|11331|3|Clothing|24|Tights|2012-04-17 00:00:00
50|20120317|11335|4|Accessories|26|Bike Racks|2012-03-17 00:00:00
51|20120301|11338|4|Accessories|32|Hydration Packs|2012-03-01 00:00:00
52|20120316|11344|4|Accessories|27|Bike Stands|2012-03-16 00:00:00
53|20120304|11358|4|Accessories|27|Bike Stands|2012-03-04 00:00:00
54|20120304|11358|4|Accessories|28|Bottles and Cages|2012-03-04 00:00:00
55|20120423|11364|3|Clothing|24|Tights|2012-04-23 00:00:00
56|20120331|11387|4|Accessories|31|Helmets|2012-03-31 00:00:00
57|20120401|11413|3|Clothing|25|Vests|2012-04-01 00:00:00
58|20120401|11413|4|Accessories|37|Tires and Tubes|2012-04-01 00:00:00
59|20120406|11431|4|Accessories|27|Bike Stands|2012-04-06 00:00:00
60|20120410|11446|3|Clothing|22|Shorts|2012-04-10 00:00:00
61|20120311|11449|4|Accessories|28|Bottles and Cages|2012-03-11 00:00:00
62|20120409|11464|4|Accessories|27|Bike Stands|2012-04-09 00:00:00
63|20120313|11495|4|Accessories|33|Lights|2012-03-13 00:00:00
64|20120409|11498|3|Clothing|21|Jerseys|2012-04-09 00:00:00
65|20120409|11498|3|Clothing|22|Shorts|2012-04-09 00:00:00
66|20120409|11498|4|Accessories|29|Cleaners|2012-04-09 00:00:00
67|20120407|11500|4|Accessories|36|Pumps|2012-04-07 00:00:00
68|20120325|11502|3|Clothing|21|Jerseys|2012-03-25 00:00:00
69|20120325|11502|3|Clothing|23|Socks|2012-03-25 00:00:00
70|20120322|11505|4|Accessories|30|Fenders|2012-03-22 00:00:00
71|20120322|11505|4|Accessories|34|Locks|2012-03-22 00:00:00
72|20120322|11505|4|Accessories|37|Tires and Tubes|2012-03-22 00:00:00
