#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"16.795","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GD-FY2013.CSV","Start Processing"
"13699.6167","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GD-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GE-FY2013.CSV","Start Processing"
"9583.4131","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GE-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GGP-FY2013.CSV","Start Processing"
"9516.5032","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GGP-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GILD-FY2013.CSV","Start Processing"
"9432.8761","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GILD-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GIS-FY2013.CSV","Start Processing"
"10116.0155","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GIS-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GLW-FY2013.CSV","Start Processing"
"11466.7423","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GLW-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GM-FY2013.CSV","Start Processing"
"10266.4493","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GM-FY2013.CSV","End Processing"
"15.6346","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GOOG-FY2013.CSV","Start Processing"
"9100.1427","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GOOG-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GOOGL-FY2013.CSV","Start Processing"
"9616.6199","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GOOGL-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GPC-FY2013.CSV","Start Processing"
"8733.1387","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GPC-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GPN-FY2013.CSV","Start Processing"
"8814.869","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GPN-FY2013.CSV","End Processing"
"1.0013","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GPS-FY2013.CSV","Start Processing"
"8517.5752","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GPS-FY2013.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2013\GRMN-FY2013.CSV","Start Processing"
