row_id,rate_spread
0,1.0
1,2.0
2,3.0
3,6.0
4,4.0
5,1.0
6,1.0
7,1.0
8,2.0
9,8.0
10,2.0
11,1.0
12,1.0
13,1.0
14,2.0
15,3.0
16,1.0
17,5.0
18,8.0
19,1.0
20,2.0
21,3.0
22,3.0
23,1.0
24,5.0
25,2.0
26,2.0
27,1.0
28,1.0
29,7.0
30,1.0
31,1.0
32,2.0
33,2.0
34,2.0
35,2.0
36,1.0
37,3.0
38,5.0
39,2.0
40,8.0
41,2.0
42,1.0
43,1.0
44,2.0
45,2.0
46,1.0
47,1.0
48,1.0
49,1.0
50,4.0
51,2.0
52,1.0
53,3.0
54,7.0
55,1.0
56,1.0
57,1.0
58,2.0
59,2.0
60,1.0
61,2.0
62,1.0
63,2.0
64,1.0
65,3.0
66,1.0
67,2.0
68,1.0
69,7.0
70,1.0
71,1.0
72,3.0
73,1.0
74,3.0
75,1.0
76,1.0
77,7.0
78,6.0
79,2.0
80,1.0
81,2.0
82,3.0
83,1.0
84,1.0
85,1.0
86,2.0
87,4.0
88,1.0
89,1.0
90,1.0
91,3.0
92,1.0
93,1.0
94,2.0
95,2.0
96,2.0
97,1.0
98,4.0
99,1.0
100,1.0
101,2.0
102,7.0
103,1.0
104,4.0
105,1.0
106,3.0
107,2.0
108,1.0
109,1.0
110,3.0
111,3.0
112,8.0
113,2.0
114,1.0
115,1.0
116,2.0
117,1.0
118,1.0
119,1.0
120,1.0
121,2.0
122,1.0
123,2.0
124,1.0
125,1.0
126,2.0
127,3.0
128,2.0
129,7.0
130,1.0
131,6.0
132,2.0
133,1.0
134,1.0
135,1.0
136,1.0
137,1.0
138,1.0
139,1.0
140,1.0
141,3.0
142,1.0
143,8.0
144,1.0
145,1.0
146,1.0
147,2.0
148,1.0
149,2.0
150,1.0
151,5.0
152,2.0
153,3.0
154,1.0
155,1.0
156,1.0
157,1.0
158,1.0
159,1.0
160,1.0
161,3.0
162,1.0
163,2.0
164,1.0
165,1.0
166,2.0
167,1.0
168,3.0
169,2.0
170,6.0
171,1.0
172,3.0
173,1.0
174,1.0
175,4.0
176,4.0
177,1.0
178,4.0
179,1.0
180,1.0
181,1.0
182,2.0
183,8.0
184,1.0
185,1.0
186,1.0
187,2.0
188,2.0
189,1.0
190,2.0
191,2.0
192,1.0
193,4.0
194,8.0
195,1.0
196,1.0
197,1.0
198,4.0
199,1.0
200,1.0
201,1.0
202,1.0
203,1.0
204,2.0
205,1.0
206,2.0
207,2.0
208,3.0
209,1.0
210,5.0
211,3.0
212,1.0
213,8.0
214,1.0
215,2.0
216,1.0
217,1.0
218,2.0
219,1.0
220,1.0
221,1.0
222,6.0
223,2.0
224,1.0
225,2.0
226,1.0
227,1.0
228,6.0
229,1.0
230,1.0
231,7.0
232,6.0
233,2.0
234,8.0
235,8.0
236,3.0
237,1.0
238,2.0
239,1.0
240,1.0
241,2.0
242,1.0
243,1.0
244,1.0
245,1.0
246,1.0
247,1.0
248,1.0
249,1.0
250,1.0
251,2.0
252,1.0
253,3.0
254,1.0
255,1.0
256,4.0
257,3.0
258,1.0
259,2.0
260,2.0
261,1.0
262,2.0
263,6.0
264,8.0
265,1.0
266,1.0
267,3.0
268,3.0
269,1.0
270,1.0
271,2.0
272,4.0
273,5.0
274,1.0
275,1.0
