"Symbol","Security","Sector","Industry","Address","Date"
"AEE","Ameren Corp","Utilities","Multi-Utilities","St. Louis, Missouri","9/19/1991 12:00:00 AM"
"AAL","American Airlines Group","Industrials","Airlines","Fort Worth, Texas","3/23/2015 12:00:00 AM"
"AEP","American Electric Power","Utilities","Electric Utilities","Columbus, Ohio",
"AXP","American Express Co","Financials","Consumer Finance","New York, New York","6/30/1976 12:00:00 AM"
"AIG","American International Group, Inc.","Financials","Property & Casualty Insurance","New York, New York","3/31/1980 12:00:00 AM"
"AMT","American Tower Corp A","Real Estate","Specialized REITs","Boston, Massachusetts","11/19/2007 12:00:00 AM"
"AWK","American Water Works Company Inc","Utilities","Water Utilities","Voorhees, New Jersey","3/4/2016 12:00:00 AM"
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","10/3/2005 12:00:00 AM"
"ABC","AmerisourceBergen Corp","Health Care","Health Care Distributors","Chesterbrook, Pennsylvania","8/30/2001 12:00:00 AM"
"AME","AMETEK Inc","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","9/23/2013 12:00:00 AM"
"AMGN","Amgen Inc","Health Care","Biotechnology","Thousand Oaks, California","1/2/1992 12:00:00 AM"
"APH","Amphenol Corp","Information Technology","Electronic Components","Wallingford, Connecticut","9/30/2008 12:00:00 AM"
"APC","Anadarko Petroleum Corp","Energy","Oil & Gas Exploration & Production","The Woodlands, Texas",
"ADI","Analog Devices, Inc.","Information Technology","Semiconductors","Norwood, Massachusetts",
"ANDV","Andeavor","Energy","Oil & Gas Refining & Marketing","San Antonio, Texas","9/27/2007 12:00:00 AM"
"ANSS","ANSYS","Information Technology","Application Software","Canonsburg, Pennsylvania","6/19/2017 12:00:00 AM"
"ANTM","Anthem Inc.","Health Care","Managed Health Care","Indianapolis, Indiana",
"AON","Aon plc","Financials","Insurance Brokers","London, United Kingdom",
"AOS","A.O. Smith Corp","Industrials","Building Products","Milwaukee, Wisconsin","7/26/2017 12:00:00 AM"
"APA","Apache Corporation","Energy","Oil & Gas Exploration & Production","Houston, Texas",
"AIV","Apartment Investment & Management","Real Estate","Residential REITs","Denver, Colorado",
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","11/30/1982 12:00:00 AM"
"AMAT","Applied Materials Inc","Information Technology","Semiconductor Equipment","Santa Clara, California",
"APTV","Aptiv Plc","Consumer Discretionary","Auto Parts & Equipment","Gillingham, Kent, United Kingdom","12/24/2012 12:00:00 AM"
"ADM","Archer-Daniels-Midland Co","Consumer Staples","Agricultural Products","Decatur, Illinois","7/29/1981 12:00:00 AM"
"ARNC","Arconic Inc","Industrials","Aerospace & Defense","New York, New York","3/31/1964 12:00:00 AM"
"AJG","Arthur J. Gallagher & Co.","Financials","Insurance Brokers","Itasca, Illinois","5/31/2016 12:00:00 AM"
"AIZ","Assurant Inc","Financials","Multi-line Insurance","New York, New York","4/10/2007 12:00:00 AM"
"T","AT&T Inc","Telecommunication Services","Integrated Telecommunication Services","Dallas, Texas","11/30/1983 12:00:00 AM"
"ADSK","Autodesk Inc","Information Technology","Application Software","San Rafael, California","12/1/1989 12:00:00 AM"
"ADP","Automatic Data Processing","Information Technology","Internet Software & Services","Roseland, New Jersey","3/31/1981 12:00:00 AM"
"AZO","AutoZone Inc","Consumer Discretionary","Specialty Stores","Memphis, Tennessee",
"AVB","AvalonBay Communities, Inc.","Real Estate","Residential REITs","Arlington, Virginia[3]","1/10/2007 12:00:00 AM"
"AVY","Avery Dennison Corp","Materials","Paper Packaging","Glendale, California","12/31/1987 12:00:00 AM"
"BHGE","Baker Hughes, a GE Company","Energy","Oil & Gas Equipment & Services","Houston, Texas",
"BLL","Ball Corp","Materials","Metal & Glass Containers","Broomfield, Colorado","10/31/1984 12:00:00 AM"
"BAC","Bank of America Corp","Financials","Diversified Banks","Charlotte, North Carolina","6/30/1976 12:00:00 AM"
"BK","The Bank of New York Mellon Corp.","Financials","Asset Management & Custody Banks","New York, New York",
"BAX","Baxter International Inc.","Health Care","Health Care Equipment","Deerfield, Illinois","9/30/1972 12:00:00 AM"
"BBT","BB&T Corporation","Financials","Regional Banks","Winston-Salem, North Carolina",
"BDX","Becton Dickinson","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","9/30/1972 12:00:00 AM"
"BRK-B","Berkshire Hathaway","Financials","Multi-Sector Holdings","Omaha, Nebraska","2/16/2010 12:00:00 AM"
"BBY","Best Buy Co. Inc.","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","6/29/1999 12:00:00 AM"
"BIIB","Biogen Inc.","Health Care","Biotechnology","Weston, Massachusetts",
"BLK","BlackRock","Financials","Asset Management & Custody Banks","New York, New York","4/4/2011 12:00:00 AM"
"HRB","Block H&R","Financials","Consumer Finance","Kansas City, Missouri","11/30/1986 12:00:00 AM"
"BA","Boeing Company","Industrials","Aerospace & Defense","Chicago, Illinois",
"BWA","BorgWarner","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","12/19/2011 12:00:00 AM"
"BXP","Boston Properties","Real Estate","Office REITs","Boston, Massachusetts","4/3/2006 12:00:00 AM"
"BSX","Boston Scientific","Health Care","Health Care Equipment","Marlborough, Massachusetts[4]","2/24/1995 12:00:00 AM"
"BHF","Brighthouse Financial Inc","Financials","Life & Health Insurance","Charlotte, North Carolina","8/8/2017 12:00:00 AM"
"BMY","Bristol-Myers Squibb","Health Care","Health Care Distributors","New York, New York",
"AVGO","Broadcom","Information Technology","Semiconductors","San Jose, California","5/8/2014 12:00:00 AM"
"BF-B","Brown-Forman Corp.","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","10/31/1982 12:00:00 AM"
"CHRW","C. H. Robinson Worldwide","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","3/2/2007 12:00:00 AM"
"CA","CA, Inc.","Information Technology","Systems Software","Islandia, New York","7/31/1987 12:00:00 AM"
"COG","Cabot Oil & Gas","Energy","Oil & Gas Exploration & Production","Houston, Texas","6/23/2008 12:00:00 AM"
"CDNS","Cadence Design Systems","Information Technology","Application Software","San Jose, California","9/18/2017 12:00:00 AM"
"CPB","Campbell Soup","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey",
"COF","Capital One Financial","Financials","Consumer Finance","Tysons Corner, Virginia",
"CAH","Cardinal Health Inc.","Health Care","Health Care Distributors","Dublin, Ohio",
"CBOE","CBOE Holdings","Financials","Financial Exchanges & Data","Chicago, Illinois","3/1/2017 12:00:00 AM"
"KMX","Carmax Inc","Consumer Discretionary","Specialty Stores","Richmond, Virginia","6/28/2010 12:00:00 AM"
"CCL","Carnival Corp.","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida",
"CAT","Caterpillar Inc.","Industrials","Construction Machinery & Heavy Trucks","Peoria, Illinois",
"CBG","CBRE Group","Real Estate","Real Estate Services","Los Angeles, California","11/10/2006 12:00:00 AM"
"CBS","CBS Corp.","Consumer Discretionary","Broadcasting","New York, New York","9/1/1994 12:00:00 AM"
"CELG","Celgene Corp.","Health Care","Biotechnology","Summit, New Jersey","11/6/2006 12:00:00 AM"
"CNC","Centene Corporation","Health Care","Managed Health Care","St Louis, Missouri","3/30/2016 12:00:00 AM"
"CNP","CenterPoint Energy","Utilities","Multi-Utilities","Houston, Texas","7/31/1985 12:00:00 AM"
"CTL","CenturyLink Inc","Telecommunication Services","Integrated Telecommunication Services","Monroe, Louisiana",
"CERN","Cerner","Health Care","Health Care Technology","North Kansas City, Missouri","4/30/2010 12:00:00 AM"
"CF","CF Industries Holdings Inc","Materials","Fertilizers & Agricultural Chemicals","Deerfield, Illinois","8/27/2008 12:00:00 AM"
"SCHW","Charles Schwab Corporation","Financials","Investment Banking & Brokerage","San Francisco, California",
"CHTR","Charter Communications","Consumer Discretionary","Cable & Satellite","Stamford, Connecticut","9/8/2016 12:00:00 AM"
"CHK","Chesapeake Energy","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma",
"CVX","Chevron Corp.","Energy","Integrated Oil & Gas","San Ramon, California",
"CMG","Chipotle Mexican Grill","Consumer Discretionary","Restaurants","Denver, Colorado","4/28/2011 12:00:00 AM"
"CB","Chubb Limited","Financials","Property & Casualty Insurance","Zurich, Switzerland","7/15/2010 12:00:00 AM"
"CHD","Church & Dwight","Consumer Staples","Household Products","Ewing, New Jersey","12/29/2015 12:00:00 AM"
"CI","CIGNA Corp.","Health Care","Managed Health Care","Philadelphia, Pennsylvania","6/30/1976 12:00:00 AM"
"XEC","Cimarex Energy","Energy","Oil & Gas Exploration & Production","Denver, Colorado","6/21/2014 12:00:00 AM"
"CINF","Cincinnati Financial","Financials","Property & Casualty Insurance","Fairfield, Ohio",
"CTAS","Cintas Corporation","Industrials","Diversified Support Services","Mason, Ohio","3/1/2001 12:00:00 AM"
"CSCO","Cisco Systems","Information Technology","Communications Equipment","San Jose, California","12/1/1993 12:00:00 AM"
"C","Citigroup Inc.","Financials","Diversified Banks","New York, New York","5/31/1988 12:00:00 AM"
"CFG","Citizens Financial Group","Financials","Regional Banks","Providence, Rhode Island","1/29/2016 12:00:00 AM"
"CTXS","Citrix Systems","Information Technology","Internet Software & Services","Fort Lauderdale, Florida",
"CLX","The Clorox Company","Consumer Staples","Household Products","Oakland, California","3/31/1969 12:00:00 AM"
"CME","CME Group Inc.","Financials","Financial Exchanges & Data","Chicago, Illinois",
"CMS","CMS Energy","Utilities","Multi-Utilities","Jackson, Michigan",
"KO","Coca-Cola Company (The)","Consumer Staples","Soft Drinks","Atlanta, Georgia",
"CTSH","Cognizant Technology Solutions","Information Technology","IT Consulting & Other Services","Teaneck, New Jersey","11/17/2006 12:00:00 AM"
"CL","Colgate-Palmolive","Consumer Staples","Household Products","New York, New York",
"CMCSA","Comcast Corp.","Consumer Discretionary","Cable & Satellite","Philadelphia, Pennsylvania","9/18/2015 12:00:00 AM"
"CMA","Comerica Inc.","Financials","Diversified Banks","Dallas, Texas",
"CAG","Conagra Brands","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","8/31/1983 12:00:00 AM"
"CXO","Concho Resources","Energy","Oil & Gas Exploration & Production","Midland, Texas","2/22/2016 12:00:00 AM"
"COP","ConocoPhillips","Energy","Oil & Gas Exploration & Production","Houston, Texas",
"ED","Consolidated Edison","Utilities","Electric Utilities","New York, New York",
"STZ","Constellation Brands","Consumer Staples","Distillers & Vintners","Victor, New York","7/5/2005 12:00:00 AM"
"COO","The Cooper Companies","Health Care","Health Care Supplies","Pleasanton, California","9/23/2016 12:00:00 AM"
"GLW","Corning Inc.","Information Technology","Electronic Components","Corning, New York",
"COST","Costco Wholesale Corp.","Consumer Staples","Hypermarkets & Super Centers","Issaquah, Washington","10/1/1993 12:00:00 AM"
"COTY","Coty, Inc","Consumer Staples","Personal Products","New York, NY","10/3/2016 12:00:00 AM"
"CCI","Crown Castle International Corp.","Real Estate","Specialized REITs","Houston, Texas","3/14/2012 12:00:00 AM"
"CSRA","CSRA Inc.","Information Technology","IT Consulting & Other Services","Falls Church, Virginia","12/1/2015 12:00:00 AM"
"CSX","CSX Corp.","Industrials","Railroads","Jacksonville, Florida","9/30/1967 12:00:00 AM"
"CMI","Cummins Inc.","Industrials","Industrial Machinery","Columbus, Indiana","3/31/1965 12:00:00 AM"
"CVS","CVS Health","Consumer Staples","Drug Retail","Woonsocket, Rhode Island",
"DHI","D. R. Horton","Consumer Discretionary","Homebuilding","Fort Worth, Texas",
"DHR","Danaher Corp.","Health Care","Health Care Equipment","Washington, D.C.",
"DRI","Darden Restaurants","Consumer Discretionary","Restaurants","Orlando, Florida",
"DVA","DaVita Inc.","Health Care","Health Care Facilities","Denver, Colorado","7/31/2008 12:00:00 AM"
"DE","Deere & Co.","Industrials","Agricultural & Farm Machinery","Moline, Illinois",
"DAL","Delta Air Lines Inc.","Industrials","Airlines","Atlanta, Georgia","9/11/2013 12:00:00 AM"
"XRAY","Dentsply Sirona","Health Care","Health Care Supplies","York, Pennsylvania","11/14/2008 12:00:00 AM"
"DVN","Devon Energy Corp.","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","8/30/2000 12:00:00 AM"
"DLR","Digital Realty Trust Inc","Real Estate","Specialized REITs","San Francisco, California","5/18/2016 12:00:00 AM"
"DFS","Discover Financial Services","Financials","Consumer Finance","Riverwoods, Illinois","7/2/2007 12:00:00 AM"
"DISCA","Discovery Communications-A","Consumer Discretionary","Cable & Satellite","Silver Spring, Maryland","3/1/2010 12:00:00 AM"
"DISCK","Discovery Communications-C","Consumer Discretionary","Cable & Satellite","Silver Spring, Maryland","8/7/2014 12:00:00 AM"
"DISH","Dish Network","Consumer Discretionary","Cable & Satellite","Meridian, Colorado","3/13/2017 12:00:00 AM"
"DG","Dollar General","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","12/3/2012 12:00:00 AM"
"DLTR","Dollar Tree","Consumer Discretionary","General Merchandise Stores","Chesapeake, Virginia","12/19/2011 12:00:00 AM"
"D","Dominion Energy","Utilities","Electric Utilities","Richmond, Virginia",
"DOV","Dover Corp.","Industrials","Industrial Machinery","Downers Grove, Illinois","10/31/1985 12:00:00 AM"
"DWDP","DowDuPont","Materials","Diversified Chemicals","Midland, Michigan",
"DPS","Dr Pepper Snapple Group","Consumer Staples","Soft Drinks","Plano, Texas","10/7/2008 12:00:00 AM"
"DTE","DTE Energy Co.","Utilities","Multi-Utilities","Detroit, Michigan",
"DRE","Duke Realty Corp","Real Estate","Industrial REITs","Indianapolis, Indiana","7/26/2017 12:00:00 AM"
"DUK","Duke Energy","Utilities","Electric Utilities","Charlotte, North Carolina","6/30/1976 12:00:00 AM"
"DXC","DXC Technology","Information Technology","IT Consulting & Other Services","Tysons Corner, Virginia","4/4/2017 12:00:00 AM"
"ETFC","E*Trade","Financials","Investment Banking & Brokerage","New York, New York","3/31/2004 12:00:00 AM"
"EMN","Eastman Chemical","Materials","Diversified Chemicals","Kingsport, Tennessee","1/1/1994 12:00:00 AM"
"ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","Dublin, Ireland",
"EBAY","eBay Inc.","Information Technology","Internet Software & Services","San Jose, California",
"ECL","Ecolab Inc.","Materials","Specialty Chemicals","St. Paul, Minnesota","1/31/1989 12:00:00 AM"
"EIX","Edison Int'l","Utilities","Electric Utilities","Rosemead, California",
"EW","Edwards Lifesciences","Health Care","Health Care Equipment","Irvine, California","4/1/2011 12:00:00 AM"
"EA","Electronic Arts","Information Technology","Home Entertainment Software","Redwood City, California","7/22/2002 12:00:00 AM"
"EMR","Emerson Electric Company","Industrials","Electrical Components & Equipment","Ferguson, Missouri","3/31/1965 12:00:00 AM"
"ETR","Entergy Corp.","Utilities","Electric Utilities","New Orleans, Louisiana",
"EVHC","Envision Healthcare","Health Care","Health Care Services","Nashville, Tennessee","12/2/2016 12:00:00 AM"
"EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","Houston, Texas","11/2/2000 12:00:00 AM"
"EQT","EQT Corporation","Energy","Oil & Gas Exploration & Production","Pittsburgh, Pennsylvania","12/19/2008 12:00:00 AM"
"EFX","Equifax Inc.","Industrials","Research & Consulting Services","Atlanta, Georgia","6/19/1997 12:00:00 AM"
"EQIX","Equinix","Real Estate","Specialized REITs","Redwood City, California","3/20/2015 12:00:00 AM"
"EQR","Equity Residential","Real Estate","Residential REITs","Chicago, Illinois","12/3/2001 12:00:00 AM"
"ESS","Essex Property Trust, Inc.","Real Estate","Residential REITs","Palo Alto, California","4/2/2014 12:00:00 AM"
"EL","Estee Lauder Cos.","Consumer Staples","Personal Products","New York, New York","1/5/2006 12:00:00 AM"
"ES","Eversource Energy","Utilities","Multi-Utilities","Springfield, Massachusetts",
"RE","Everest Re Group Ltd.","Financials","Reinsurance","Hamilton, Bermuda","6/19/2017 12:00:00 AM"
"EXC","Exelon Corp.","Utilities","Multi-Utilities","Chicago, Illinois",
"EXPE","Expedia Inc.","Consumer Discretionary","Internet & Direct Marketing Retail","Bellevue, Washington","10/2/2007 12:00:00 AM"
"EXPD","Expeditors International","Industrials","Air Freight & Logistics","Seattle, Washington","10/10/2007 12:00:00 AM"
"ESRX","Express Scripts","Health Care","Health Care Distributors","Cool Valley, Missouri","9/25/2003 12:00:00 AM"
"EXR","Extra Space Storage","Real Estate","Specialized REITs","Salt Lake City, Utah","1/19/2016 12:00:00 AM"
"XOM","Exxon Mobil Corp.","Energy","Integrated Oil & Gas","Irving, Texas",
"FFIV","F5 Networks","Information Technology","Communications Equipment","Seattle, Washington","12/20/2010 12:00:00 AM"
"FB","Facebook, Inc.","Information Technology","Internet Software & Services","Menlo Park, California","12/23/2013 12:00:00 AM"
"FAST","Fastenal Co","Industrials","Building Products","Winona, Minnesota","9/15/2009 12:00:00 AM"
"FRT","Federal Realty Investment Trust","Real Estate","Retail REITs","Rockville, Maryland","2/1/2016 12:00:00 AM"
"FDX","FedEx Corporation","Industrials","Air Freight & Logistics","Memphis, Tennessee","12/31/1980 12:00:00 AM"
"FIS","Fidelity National Information Services","Information Technology","Internet Software & Services","Jacksonville, Florida","11/10/2006 12:00:00 AM"
"FITB","Fifth Third Bancorp","Financials","Regional Banks","Cincinnati, Ohio",
"FE","FirstEnergy Corp","Utilities","Electric Utilities","Akron, Ohio",
"FISV","Fiserv Inc","Information Technology","Internet Software & Services","Brookfield, Wisconsin","4/2/2001 12:00:00 AM"
"FLIR","FLIR Systems","Information Technology","Electronic Equipment & Instruments","Wilsonville, Oregon","1/2/2009 12:00:00 AM"
"FLS","Flowserve Corporation","Industrials","Industrial Machinery","Irving, Texas","10/2/2008 12:00:00 AM"
"FLR","Fluor Corp.","Industrials","Construction & Engineering","Irving, Texas","3/31/1980 12:00:00 AM"
"FMC","FMC Corporation","Materials","Fertilizers & Agricultural Chemicals","Philadelphia, Pennsylvania","8/19/2009 12:00:00 AM"
"FL","Foot Locker Inc","Consumer Discretionary","Apparel Retail","New York, New York","4/4/2016 12:00:00 AM"
"F","Ford Motor","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan",
"FTV","Fortive Corp","Industrials","Industrial Machinery","Everett, Washington","7/1/2016 12:00:00 AM"
"FBHS","Fortune Brands Home & Security","Industrials","Building Products","Deerfield, Illinois","6/22/2016 12:00:00 AM"
"BEN","Franklin Resources","Financials","Asset Management & Custody Banks","San Mateo, California",
"FCX","Freeport-McMoRan Inc.","Materials","Copper","Phoenix, Arizona",
"GPS","Gap Inc.","Consumer Discretionary","Apparel Retail","San Francisco, California","8/31/1986 12:00:00 AM"
"GRMN","Garmin Ltd.","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","12/12/2012 12:00:00 AM"
"IT","Gartner Inc","Information Technology","IT Consulting & Other Services","Stamford, Connecticut","4/5/2017 12:00:00 AM"
"GD","General Dynamics","Industrials","Aerospace & Defense","Falls Church, Virginia",
"GE","General Electric","Industrials","Industrial Conglomerates","Boston, Massachusetts",
"GGP","General Growth Properties Inc.","Real Estate","Retail REITs","Chicago, Illinois","12/10/2013 12:00:00 AM"
"GIS","General Mills","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","3/31/1969 12:00:00 AM"
"GM","General Motors","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","6/6/2013 12:00:00 AM"
"GPC","Genuine Parts","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","12/31/1973 12:00:00 AM"
"GILD","Gilead Sciences","Health Care","Biotechnology","Foster City, California","7/1/2004 12:00:00 AM"
"GPN","Global Payments Inc","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","4/25/2016 12:00:00 AM"
"GS","Goldman Sachs Group","Financials","Investment Banking & Brokerage","New York, New York","7/22/2002 12:00:00 AM"
"GT","Goodyear Tire & Rubber","Consumer Discretionary","Tires & Rubber","Akron, Ohio",
"GWW","Grainger (W.W.) Inc.","Industrials","Industrial Machinery","Lake Forest, Illinois","6/30/1981 12:00:00 AM"
"HAL","Halliburton Co.","Energy","Oil & Gas Equipment & Services","Houston, Texas",
"HBI","Hanesbrands Inc","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina","3/20/2015 12:00:00 AM"
"HOG","Harley-Davidson","Consumer Discretionary","Motorcycle Manufacturers","Milwaukee, Wisconsin",
"HRS","Harris Corporation","Information Technology","Communications Equipment","Melbourne, Florida","9/22/2008 12:00:00 AM"
"HIG","Hartford Financial Svc.Gp.","Financials","Property & Casualty Insurance","Hartford, Connecticut",
"HAS","Hasbro Inc.","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","9/30/1984 12:00:00 AM"
"HCA","HCA Holdings","Health Care","Health Care Facilities","Nashville, Tennessee","1/27/2015 12:00:00 AM"
"HCP","HCP Inc.","Real Estate","Health Care REITs","Long Beach, California","3/31/2008 12:00:00 AM"
"HP","Helmerich & Payne","Energy","Oil & Gas Drilling","Tulsa, Oklahoma[5]","3/1/2010 12:00:00 AM"
"HSIC","Henry Schein","Health Care","Health Care Distributors","Melville, New York","3/17/2015 12:00:00 AM"
"HSY","The Hershey Company","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania",
"HES","Hess Corporation","Energy","Integrated Oil & Gas","New York, New York","5/31/1984 12:00:00 AM"
"HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","11/2/2015 12:00:00 AM"
"HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","6/19/2017 12:00:00 AM"
"HOLX","Hologic","Health Care","Health Care Equipment","Marlborough, Massachusetts","3/30/2016 12:00:00 AM"
"HD","Home Depot","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","3/31/1988 12:00:00 AM"
"HON","Honeywell Int'l Inc.","Industrials","Industrial Conglomerates","Morristown, New Jersey","3/31/1964 12:00:00 AM"
"HRL","Hormel Foods Corp.","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","3/4/2009 12:00:00 AM"
"HST","Host Hotels & Resorts","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","3/20/2007 12:00:00 AM"
"HPQ","HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","12/31/1974 12:00:00 AM"
"HUM","Humana Inc.","Health Care","Managed Health Care","Louisville, Kentucky",
"HBAN","Huntington Bancshares","Financials","Regional Banks","Columbus, Ohio",
"HII","Huntington Ingalls Industries","Industrials","Aerospace & Defense","Newport News, Virginia","1/3/2018 12:00:00 AM"
"IDXX","IDEXX Laboratories","Health Care","Health Care Equipment","Westbrook, Maine","1/5/2017 12:00:00 AM"
"INFO","IHS Markit Ltd.","Industrials","Research & Consulting Services","London, United Kingdom","6/2/2017 12:00:00 AM"
"ITW","Illinois Tool Works","Industrials","Industrial Machinery","Glenview, Illinois","2/28/1986 12:00:00 AM"
"ILMN","Illumina Inc","Health Care","Life Sciences Tools & Services","San Diego, California","11/19/2015 12:00:00 AM"
"IR","Ingersoll-Rand PLC","Industrials","Industrial Machinery","Dublin, Ireland","11/17/2010 12:00:00 AM"
"INTC","Intel Corp.","Information Technology","Semiconductors","Santa Clara, California","12/31/1976 12:00:00 AM"
"ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","Atlanta, Georgia","9/26/2007 12:00:00 AM"
"IBM","International Business Machines","Information Technology","IT Consulting & Other Services","Armonk, New York",
"INCY","Incyte","Health Care","Biotechnology","Wilmington, Delaware","2/28/2017 12:00:00 AM"
"IP","International Paper","Materials","Paper Packaging","Memphis, Tennessee",
"IPG","Interpublic Group","Consumer Discretionary","Advertising","New York, New York","10/1/1992 12:00:00 AM"
"IFF","Intl Flavors & Fragrances","Materials","Specialty Chemicals","New York, New York","3/31/1976 12:00:00 AM"
"INTU","Intuit Inc.","Information Technology","Internet Software & Services","Mountain View, California","12/5/2000 12:00:00 AM"
"ISRG","Intuitive Surgical Inc.","Health Care","Health Care Equipment","Sunnyvale, California","6/2/2008 12:00:00 AM"
"IVZ","Invesco Ltd.","Financials","Asset Management & Custody Banks","Atlanta, Georgia","8/21/2008 12:00:00 AM"
"IQV","IQVIA Holdings Inc.","Health Care","Life Sciences Tools & Service","Durham, North Carolina","8/29/2017 12:00:00 AM"
"IRM","Iron Mountain Incorporated","Real Estate","Specialized REITs","Boston, Massachusetts","1/6/2009 12:00:00 AM"
"JEC","Jacobs Engineering Group","Industrials","Construction & Engineering","Pasadena, California","10/26/2007 12:00:00 AM"
